k,label,no_result,no_result_w_reason,wrong,wrong_w_reason,contains,contains_w_reason,plurality_and_dist,plurality_and_dist_w_reason,plurality,plurality_w_reason,majority,majority_w_reason,exact,exact_w_reason,reasons
7,careers360.com,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0
7,harpersbazaar.com,0,0,1,0,3,0,2,0,2,0,2,0,0,0,0
7,politexpert.net,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0
7,aboutespanol.com,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0
7,theglobeandmail.com,1,0,0,0,0,0,0,0,0,0,1,0,8,0,0
7,lowes.com,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0
7,badoo.com,2,0,3,0,0,0,1,0,2,0,2,0,0,0,0
7,manta.com,2,0,1,0,3,0,1,0,0,0,1,0,2,0,0
7,blogfa.com,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10
7,sputniknews.com,5,0,2,0,2,0,0,0,1,0,0,0,0,0,0
7,ssense.com,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0
7,news247.gr,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,speedpay.com,0,0,4,0,1,0,1,0,4,0,0,0,0,0,0
7,jobriya.in,1,0,0,0,1,0,0,0,2,0,0,0,6,0,0
7,googlevideo.com,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0
7,interswitchng.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,youtubeto.com,1,0,3,0,4,0,1,0,0,0,0,0,1,0,0
7,almstba.tv,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0
7,popcash.net,2,0,1,0,1,0,1,0,1,0,2,0,2,0,0
7,yaporn.video,0,0,4,0,1,0,0,0,0,0,5,0,0,0,0
7,taqviyat.com,0,0,0,0,0,0,1,0,0,0,7,0,2,0,0
7,nhl.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,cwtv.com,0,0,5,0,3,0,0,0,2,0,0,0,0,0,0
7,codeproject.com,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0
7,netizenbuzz.blogspot.com,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0
7,tower.im,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0
7,expreview.com,5,0,0,0,0,0,0,0,0,0,1,0,4,0,0
7,alibaba.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,firefoxchina.cn,7,0,1,0,0,0,0,0,0,0,0,0,2,0,0
7,bls.gov,2,0,2,0,2,0,1,0,1,0,0,0,2,0,0
7,crptentry.com,0,0,1,0,4,0,1,0,2,0,1,0,1,0,0
7,oracle.com,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0
7,yahoo.net,0,0,1,0,4,0,0,0,3,0,2,0,0,0,0
7,126.com,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0
7,hinative.com,2,0,0,0,0,0,2,0,0,0,1,0,5,0,0
7,onet.pl,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0
